,,UNIQUE DATE,avg CH4 (ppm),AT (C),H2S (ppb),RH (%),SO2 (ppb),WD (deg),WD_STD (deg),avg WS (km/h),WS_STD (km/h),BP_2 (mB),DEW_2 (C),PAR_16 (umol m-2 s-1),avg SR_29 (W/m2),VW20 (km/h),VW20_STD (km/h),GR (W/m2)
1,21,2019-04-14,2.552,6.3,0.5,53.2,0.4,142.3,62.2,5.1,3,957,-3.293,0.013,0.012,0.5,1,0
2,23,2019-04-16,2.0065,10.8,0.15,33.3,1.65,151.4,35.95,9.2,3.55,970,-5.0055,745.45,473.45,-0.05,2.1,442.2
1,24,2019-04-17,2.398,5.05,0.95,73.85,2.25,147.35,39.3,3.8,1.55,967.5,0.5775,0.0585,0.0475,-0.05,1.1,0
1,25,2019-04-18,2.15,7.8,1.22,61.7,14.36,164.08,31.78,7.76,2.82,970.2,-0.1804,318.203,184.065,-0.5,1.62,214.78
2,27,2019-04-20,2.218,2.5,1.4,70.6,9.4,140.6,35.4,5.1,1.8,964,-5.69,0.54,0.356,-0.5,0.9,21
1,28,2019-04-21,2.0175,12.05,0.35,29.4,1.65,145.85,20.45,10.45,3.4,977,-7.5545,205.8,126.555,0.4,1.7,42
1,29,2019-04-22,2.219222222,17.96666667,0.966666667,24.53333333,13.18888889,171.8888889,34.31111111,10.04444444,4.1,965.5555556,-4.663222222,657.8098889,390.4515556,-0.333333333,2.344444444,349.5777778
1,30,2019-04-23,2.492,10.1,1.6,66.4,16.7,167.7,66.6,5,3.3,960,3.34,0.006,0.015,-0.5,1.8,0
6,36,2019-04-29,2.265,1.3,1.1,74,9,165.6,34.2,6,2.4,980,-1.994,94.6,58.47,-0.3,1.2,16.3
2,38,2019-05-01,2.021,2.6,0.15,36.1,1.55,147.6,64.55,6.7,3.9,975,-12.17,764.7,450.3,0.2,2.05,472.55
1,39,2019-05-02,2.1475,4,0.5,53.05,6.2,163.8,51.55,5.65,2.6,972,-5.677,328.45,208.95,-0.25,1.7,159.9
4,43,2019-05-06,2.0815,2.4,0.3,81.4,2.4,156.85,40.25,5.2,2.75,980,-1.943,58.305,33.365,0,1.05,123.65
3,46,2019-05-09,2.073166667,18.58333333,0.45,37.65,1.983333333,153.05,24.33333333,11.28333333,3.55,971.8333333,3.913,582.8666667,330.9666667,0.016666667,2.216666667,330.3666667
10,56,2019-05-19,1.977615385,19.74615385,0.284615385,22.46923077,2.584615385,151.7230769,29.68461538,11.51538462,4.230769231,979.3076923,-4.382307692,746.4707692,433.3675385,0.307692308,2.1,432.4307692
1,57,2019-05-20,2.042384615,19.38461538,0.346153846,28.23076923,2.684615385,148.3461538,29.93076923,9.615384615,3.492307692,975.7692308,-2.237153846,616.8468462,359.8285385,0.261538462,1.807692308,351.7307692
1,58,2019-05-21,2.0142,23.2,0.4,20.62,5.3,169.76,46.86,7.04,3.2,975.6,-2.4714,916.6078,510.863,0.12,1.78,461.16
5,63,2019-05-26,2.504666667,19.4,4.666666667,20.73333333,77.86666667,193.1666667,29.46666667,7.566666667,2.633333333,972.3333333,-5.014666667,59.613,39.63033333,-0.7,1.833333333,7.3
1,64,2019-05-27,2.135,18.1,1.6,36.25,14.85,193.2,62.65,4.1,2.4,972.5,1.4225,324.9735,193.8615,-0.3,1.75,312.55
1,65,2019-05-28,2.180333333,18.1,1,51.53333333,4.466666667,158.6333333,56.96666667,4.333333333,1.966666667,968.3333333,5.102,195.379,136.1726667,0.033333333,0.933333333,236.7666667
1,66,2019-05-29,2.314,19,2,48.9,18.8,162.15,46.7,4.2,1.75,963.5,5.759,79.7765,59.214,-0.25,0.8,133.5
3,69,2019-06-01,2.057,13.6,1,88.8,11.4,155.2,48,10.6,6.2,965,9.32,1.446,0.698,0.4,3.8,0
1,70,2019-06-02,2.104,13.4,0.833333333,84.8,1.733333333,153.6333333,26.86666667,13.16666667,4.466666667,963.6666667,9.766666667,38.342,21.218,0.166666667,2.533333333,104.9666667
1,71,2019-06-03,2.111833333,14.11666667,0.783333333,77.15,1.675,156.45,33.93333333,6.416666667,2.516666667,965.1666667,9.033833333,185.6091667,96.7425,0.05,1.583333333,117.0666667
10,81,2019-06-13,2.13275,20.175,2.875,70.15,20.575,183,50.1,4.125,2.05,963.25,12.7575,349.075,187.1,-0.3,1.075,206.25
2,83,2019-06-15,2.3135,14.25,2,92,0.5,179.75,58,2.65,2.7,970,11.155,41.0175,39.3655,-0.25,0.7,103.05
2,85,2019-06-17,2.04175,25.975,0.725,40.8,4.5,147.475,30.05,7.025,2.5,971.25,7.186,481.4105,273.82925,0.3,1.75,202.15
1,86,2019-06-18,2.042818182,22.54545455,0.936363636,47.51818182,3.218181818,162.6818182,32.14545455,9.763636364,3.327272727,968.2727273,10.04090909,483.8611818,291.8769091,-0.045454545,2.409090909,329.1272727
1,87,2019-06-19,2.17525,13.95,2.35,76.625,6.125,150.725,33.275,5.825,1.825,967.5,8.5255,2.26875,1.26075,-0.2,0.775,11.225
1,88,2019-06-20,2.088,22.2,2.1,48,5.9,179.2,44.6,9.1,5.8,970,3.882,794.6,451.3,-0.1,1.9,187.2
9,97,2019-06-29,2.149,13.5,1.5,95,1.6,146.9,88.9,0.6,1.5,972,12.48,86.4,54.55,-0.2,0.9,69.6
7,104,2019-07-06,1.9916,24.5,0.44,35.9,3.96,169.6,52.82,5.96,3,977.4,5.4818,1058.06,627.88,-0.16,1.74,539.4
3,107,2019-07-09,2.0235,13.15,0.55,74.3,0.7,170.1,86.15,1.45,2.8,979.5,8.6295,674.5,423.4,-0.05,1.45,531.25
2,109,2019-07-11,2.54,19.4,5.35,52.5,33,187.5,25.7,7.6,2.3,969,7.981,26.384,16.8285,-0.5,1.25,1.2
1,110,2019-07-12,2.261666667,18,2.666666667,65.76666667,5.1,156.9666667,42.9,6.3,2.433333333,968,10.36666667,181.6393333,161.386,0.066666667,1.333333333,193.1
1,111,2019-07-13,2.1605,13.5,1.2,89.1,13,169.85,60.4,1.55,1.2,972,11.485,98.06,65.52,-0.3,0.45,14.5
1,112,2019-07-14,2.154666667,15.03333333,1.7,83.96666667,2.766666667,155.8333333,81.1,1.7,2.633333333,970.3333333,10.56333333,396.9063333,231.7606667,-0.3,0.8,275.4333333
1,113,2019-07-15,2.049,23.9,1.3,35.66666667,10.5,169.0666667,44.33333333,3.933333333,1.566666667,972,7.373333333,637.6666667,358.6,-0.166666667,1.166666667,241.5333333
1,114,2019-07-16,2.151333333,23.41111111,4.222222222,43.83333333,2.233333333,156.2555556,32.27777778,6.755555556,2.288888889,968.2222222,7.817111111,468.8892222,266.8057778,0.066666667,1.555555556,204.5555556
1,115,2019-07-17,2.098666667,24.76666667,3.6,45.16666667,1.5,148.4,33.8,8.066666667,2.9,963.3333333,9.3,632.6773333,361.173,0.1,1.9,258.3
1,116,2019-07-18,2.045,21.2,4.2,58.4,3.3,150.8,39.9,11.4,7.3,959,15.04,690.4,410.4,0.1,2.4,277.9
3,119,2019-07-21,2.273636364,28.38181818,6.018181818,34.93636364,5.354545455,172.6727273,47.44545455,5.909090909,2.672727273,978.8181818,11.32545455,659.3524545,390.7795455,-0.172727273,1.727272727,339.3818182
1,120,2019-07-22,2.089,27.66363636,2.990909091,39.95454545,1.454545455,152.8272727,35.71818182,7.118181818,2.645454545,977.7272727,10.29545455,569.9523636,326.4531818,0.072727273,1.827272727,272.6636364
1,121,2019-07-23,2.149,21.5,1,57.3,0.5,140,14.8,6.4,1.4,976,10.93,0.028,0.016,0.2,1.2,0
1,122,2019-07-24,2.284,22.8,5.1,77,2.5,173.2,60.7,7.7,5.8,964,16.99,157.5,88.3,-0.3,2.4,28.4
1,123,2019-07-25,2.0905,19.9,3.65,85.2,0.55,146.65,46.05,2.85,1.3,966,17.97,36.784,20.876,-0.05,0.75,3.05
1,124,2019-07-26,2.077,18.45,2.25,87.4,4.65,198.05,32.9,8.4,3.6,966,17.195,0.026,0.0195,-0.35,1.9,0
1,125,2019-07-27,2.059,22.1,3,61,0.9,153.6,54.1,6.5,3,968,14.03,1046,574.7,0,1.9,627.3
1,126,2019-07-28,2.319714286,19.61428571,5.171428571,48.42857143,3.1,164.6142857,43.8,5.585714286,2.142857143,975.2857143,7.257,377.9035714,205.0758571,-0.085714286,1.285714286,127.5857143
1,127,2019-07-29,2.042,22,1.5,57.3,2.9,180.5,45.5,7.7,3.2,971,13.1,688,411.4,-0.1,2.3,577.7
1,128,2019-07-30,2.0365,18.725,2.425,66.45,0.7,160.075,39.625,6.95,3.1,971.75,11.3675,499.45,286.325,-0.025,1.625,316.925
2,130,2019-08-01,1.99,24.1,0.4,55.6,0.2,146.9,36.8,3.4,1.2,975,12.38,488.2,279.8,0,0.6,138.4
1,131,2019-08-02,2.375,17,2.5,93.2,0.4,150.6,42.9,3.4,1.6,973,14.5,23.85,15.09,-0.1,1.2,19.7
1,132,2019-08-03,2.121333333,15.16666667,1.1,93.26666667,0.9,154.2666667,64.9,2.233333333,1.433333333,972,14.05666667,3.98,2.483,-0.366666667,0.533333333,0
1,133,2019-08-04,2.19825,17.075,1.725,84.3,1.825,171.4,50.275,3.175,1.3,971.75,13.2525,86.94975,49.54375,-1.39E-17,0.725,14.975
6,139,2019-08-10,1.979,18.4,0.2,52.6,1.2,166.7,76.3,1.3,1.1,979,7.5,567.8,317.4,0.3,1.3,241.9
1,140,2019-08-11,2.17825,11.7,1.5,84.85,0.1,147.225,42.125,4.85,1.6,978.5,7.75525,0.0285,0.012,0.225,1.225,0
1,141,2019-08-12,2.1315,20.925,4.225,63.475,2.475,171.6,37.825,5.475,2.25,977,12.7175,475.475,269.935,0.025,1.575,205.925
1,142,2019-08-13,2.4,14.8,2.5,91.5,7.2,161.5,50.4,2.4,1.2,977,12.75,1.605,1.079,-0.3,1,24.6
1,143,2019-08-14,2.294,18.2,4.9,69.1,3.4,169.8,47.9,4.5,2.2,972,12.03,182.3,112.3,0.3,1,99.7
1,144,2019-08-15,2.227333333,21.03333333,0.95,64.33333333,0.8,147.8,42.1,6.133333333,3.216666667,966.8333333,11.96666667,565.5296667,320.735,0.066666667,1.633333333,256.2
6,150,2019-08-21,2.046,26.2,2.7,37.56666667,36.3,147.3,28.7,17.66666667,6.4,966.6666667,10.90666667,553.6666667,346.4,0.9,3.466666667,228.7
1,151,2019-08-22,2.29175,15.725,7.575,89.3,4.2,173.8,31.35,8,2.825,964,14.435,117.28725,76.50425,-0.25,1.975,142.325
1,152,2019-08-23,2.048714286,16.34285714,3.271428571,66.44285714,5.2,151.1142857,30.42857143,9.6,3.471428571,968.5714286,9.600285714,50.972,29.80357143,0.371428571,1.871428571,25.31428571
1,153,2019-08-24,2.081,18.9,2.7,66.6,0.8,150.45,51.3,7.9,3.6,965.5,11.88,483.5185,266.2525,0.1,1.95,329.15
1,154,2019-08-25,2.486,12.5,2.1,94.9,1.3,145.3,78.6,1.7,1.8,964,11.46,0.019,0.01,-0.3,0.4,0
2,156,2019-08-27,2.120857143,16.01428571,2.014285714,69.77142857,2.942857143,166.5571429,48.64285714,4.185714286,1.942857143,973.4285714,9.864285714,245.8712857,149.7332857,0.042857143,1.371428571,152.2571429
1,157,2019-08-28,2.16775,12.5,3.125,92.4,1.5,154.25,41.925,3.3,1.45,969,10.9425,0.0295,0.014,0.125,0.825,0
2,159,2019-08-30,2.2365,8.15,1.6,96.4,0.45,145.95,44.05,4.1,1.6,979,4.7295,0.027,0.0155,0,0.75,0
2,161,2019-09-01,2.054833333,17.11666667,0.666666667,60.01666667,1.666666667,151.35,32.31666667,5.4,1.966666667,976.6666667,8.0315,247.2086667,142.8068333,0.266666667,1.85,78.23333333
1,162,2019-09-02,2.368666667,16.96666667,3.3,69.63333333,5.65,165.7,55.1,4.466666667,2,971.3333333,10.195,344.2866667,203.3516667,-0.066666667,1.516666667,168.9
2,164,2019-09-04,2.239,15.55,5.55,92.35,1.25,178.2,67.75,4.05,4.65,968,14.42,22.499,11.7765,-0.05,1.55,0
1,165,2019-09-05,2.215,10.2,1.5,95.7,3.8,186.5,86.6,0.5,1.6,982,7.467,0.014,0.016,-0.1,0.4,0
1,166,2019-09-06,2.01,18.5,0.3,55.1,1.2,151.1,30.3,3.3,0.9,983,5.236,492.1,304.9,0.1,0.6,107
4,170,2019-09-10,2.0205,9.9,0.2,62.5,0.15,147,41.65,3.05,1.5,983.5,0.735,126.766,76.455,0.45,1.3,9.7
1,171,2019-09-11,2.03175,14.5,2.1,62.9,2.175,157.8666667,31.08333333,9.4,3.441666667,982.9166667,7.157166667,202.2698333,115.6080833,0.358333333,1.733333333,108.0416667
1,172,2019-09-12,2.2454375,15.7875,6.41875,66.83125,1.70625,155.29375,28.68125,8.4125,2.75625,976.625,8.961,156.51675,101.6634375,0.05625,1.73125,110.51875
1,173,2019-09-13,2.226,16.975,6.7,75.975,0.2,151.9,24.5,6.675,2,965.5,12.34,122.037,75.4045,0.175,1.3,33.475
1,174,2019-09-14,2.334857143,13.68571429,2.2,81.31428571,6.728571429,163.4714286,26.77142857,6.828571429,1.985714286,963.2857143,9.685,94.211,56.248,-0.271428571,0.942857143,58.51428571
1,175,2019-09-15,2.4815,11.3,2.525,89.075,3.475,150,56.6,2.725,1.3,963.25,8.08375,0.0235,0.012,-0.25,0.575,0
2,177,2019-09-17,2.3745,11.05,1.65,81.45,2.65,164.15,77.15,1.25,1.15,969.5,5.9595,76.5085,44.001,0.15,0.75,5.05
1,178,2019-09-18,2.194,6.3,1.3,95.9,0.1,143.5,27.7,4.2,1.5,970,3.19,0.046,0.017,0,0.8,0.3
1,179,2019-09-19,2.309833333,18.19166667,6.433333333,50.225,3.116666667,169.975,29.89166667,8.516666667,3.133333333,966.6666667,6.906416667,302.7030833,200.6400833,-0.25,2.316666667,182.7333333
1,180,2019-09-20,2.4885,13.1,5.35,80.025,9.825,162.15,37.975,3.825,1.475,964.5,8.78675,5.26525,3.83525,-0.325,0.825,18.025
1,181,2019-09-21,2.059,20,1.1,45.5,4.2,196.9,43.9,9.3,4.3,964,7.957,515.6,492.9,-0.3,2.7,537.3
1,182,2019-09-22,2.311,12.8,1.45,78.95,1.1,158,53.55,4,1.9,960,8.31,0.0235,0.016,-0.6,0.9,0
1,183,2019-09-23,2.075,11.1,2.1,94.6,0.6,150.2,19.3,4.2,1.2,959,10,0.009,0.014,0.2,0.8,0
2,185,2019-09-25,2.162,4.9,1.9,92,0.9,159.4,72.6,2.3,2.6,967,0.573,11.98,8.03,-0.4,0.8,26.6
4,189,2019-09-29,2.049,4.733333333,0.733333333,56.1,3.166666667,157.3,43.1,3.2,1.6,990.6666667,-5.572,204.3123333,139.8023333,9.25186E-18,0.8,57.53333333
1,190,2019-09-30,2.020142857,5.821428571,1.807142857,45.01428571,1.428571429,154.9928571,26.98571429,10,3.421428571,981.6428571,-5.829285714,323.9621429,212.0487857,0.235714286,1.792857143,196.1428571
1,191,2019-10-01,2.087842105,6.9,2.647368421,54.66315789,1.931578947,161.0947368,27.26842105,10.75789474,3.768421053,977,-1.982736842,155.5,99.88215789,-0.078947368,2.252631579,102.6894737
1,192,2019-10-02,2.0486,12.04,2.23,39.42,0.73,152.56,26.47,8.65,2.62,975,-1.7008,291.1671,206.9116,0.3,1.47,173.09
1,193,2019-10-03,2.13025,10.45625,1.325,47.125,1.20625,147.9875,22.4625,9.73125,2.94375,973.4375,-1.977125,220.40775,158.176125,0.25625,1.45625,137.03125
1,194,2019-10-04,2.202666667,10.43333333,3.166666667,57.83333333,3.933333333,145.6333333,34.43333333,7.466666667,2.3,967.3333333,1.519333333,216.2753333,139.1273333,0.166666667,1.066666667,127.7
2,196,2019-10-06,2.3885,10.8,7.675,57.275,1.2,151.05,18.9,7.825,2.15,964.75,2.62,91.73275,56.0575,-0.05,0.975,18.175
1,197,2019-10-07,2.369222222,9.344444444,7.044444444,47.66666667,6.155555556,158.3555556,23.62222222,10.3,3.188888889,956,-0.639666667,30.60066667,18.46033333,-0.333333333,1.677777778,38.62222222
2,199,2019-10-09,2.376,1.4,3.4,46.2,86,196.8,17.4,7.3,1.6,983,-9.18,18.12,12.07,-0.6,0.8,0
2,201,2019-10-11,2.0595,6.066666667,1.5,49.68333333,2.516666667,152.45,34.61666667,8.8,2.95,982.3333333,-4.966333333,306.3305,213.1016667,0.316666667,1.516666667,163
1,202,2019-10-12,2.228,11.725,3.75,39.725,4.775,166.95,32.475,7.55,2.55,972.5,-2.595,340.925,221.69,-0.025,1.5,188.575
3,205,2019-10-15,2.0795,2.5125,1.925,62.8375,5.45,169.1625,28.825,8.975,3.325,982,-3.48775,141.3625,91.30975,0.075,1.7875,110.2625
1,206,2019-10-16,2.114111111,5.444444444,2.266666667,82.26666667,1.977777778,149.5,28.56666667,9.911111111,3.255555556,964,2.816,120.0414444,73.829,0.122222222,1.633333333,55.68888889
1,207,2019-10-17,2.163,7.56,1.98,72.86,4.14,152.8,23.84,7.3,2.06,951.8,3.2158,136.6652,80.3796,0.02,1.08,32.38
3,210,2019-10-20,2.696666667,2.866666667,3.766666667,79.26666667,30.4,181.6333333,46.73333333,2.6,1.066666667,970,1.129,7.636333333,5.089333333,-0.333333333,0.5,0.266666667
1,211,2019-10-21,2.145,3.633333333,2.433333333,81,0.666666667,157.3666667,48.83333333,2.9,1.4,975.3333333,1.222666667,66.07566667,42.81333333,-0.033333333,0.966666667,25.06666667
1,212,2019-10-22,2.099,4.5,0.3,71.9,0.2,141.6,18.5,8.1,2.4,970,0.276,88.1,53.96,0.2,1.3,35.6
1,213,2019-10-23,2.413,0.4,3.3,81.6,36.5,198.4,26.3,8.2,2.5,982,-1.999,0.027,0,-0.4,0.7,0
1,214,2019-10-24,2.38325,1.275,3.125,79.6,4.95,165.525,28.075,8.675,2.95,976,-1.69825,37.39925,28.8255,-0.1,1.3,39.475
1,215,2019-10-25,2.047,3.4,2.6,82,26.1,178.5,38.7,4.1,1.5,965,-1.091,0.021,0,-0.4,0.7,0
2,217,2019-10-27,2.341,-7,1,72.9,2.4,159.1,25,4.6,1.4,986,-12.19,0,0.058,0,0.7,0
2,219,2019-10-29,2.078428571,-7.642857143,1.014285714,71.67142857,3.328571429,152.7857143,28.31428571,6.771428571,1.714285714,985,-14.79,45.572,59.21071429,0.185714286,0.857142857,81.71428571
3,222,2019-11-01,2.0398,0.24,1.54,83.6,10.98,172.32,40.5,4.96,1.9,980,-2.5672,55.6738,56.7474,-0.46,0.76,110.98
1,223,2019-11-02,2.106,0.8,0.4,87.4,0.4,156,61.1,2.3,1.9,972,-0.621,52.11,27.78,-0.1,0.2,3.3
2,225,2019-11-04,2.030333333,-4.166666667,0.566666667,57.66666667,3.5,192.5,47.16666667,5.133333333,2.266666667,982.6666667,-10.69666667,203.3333333,109.7366667,0.033333333,1.333333333,153.7333333
2,227,2019-11-06,2.094666667,-7.733333333,0.866666667,61.06666667,8.933333333,181.8333333,38.96666667,6.933333333,2.666666667,989,-14.33666667,188.2523333,164.4416667,-0.266666667,1.466666667,160.6333333
1,228,2019-11-07,2.032,-10.9,0.4,81.4,0.4,143.3,25.1,7,2.5,984,-15.69,0.001,0.055,0.3,1.1,0
3,231,2019-11-10,2.099,-15.96666667,1.5,73.43333333,15.4,165.6333333,21,4.933333333,1.433333333,994,-19.88,0,0.046666667,-0.333333333,0.866666667,0
1,232,2019-11-11,2.129083333,-11.79166667,0.4,68.85,1.791666667,150.3,22.18333333,10.08333333,2.883333333,982,-17.62333333,83.32766667,74.14891667,0.191666667,1.166666667,55.20833333
3,235,2019-11-14,1.999,-10.7,0.3,74.5,0.9,190.6,83.3,0.5,1.1,983,-14.07,0,0.068,0,0.7,0.1
3,238,2019-11-17,2.2625,1.5,0.85,96.9,0.6,157.3,30.3,5.1,1.55,954,1.566,68.875,35.59,0,0.6,66.05
3,241,2019-11-20,2.108,-5.65,0.5,82.15,2.05,148.1,24.85,9.85,3.45,977.5,-8.4795,29.54,21.1505,0.2,1.5,41.25
1,242,2019-11-21,2.634,2.3,0.8,78.5,0.4,142,10.6,9.3,1.7,963,-0.036,204.4,112.1,0.3,0.5,19.7
1,243,2019-11-22,2.1295,5.05,2.65,63.4,25.45,188.4,46.05,5.65,2.4,957.5,-1.6435,0,0.012,-0.7,1.85,0
2,245,2019-11-24,2.076,-3.6,1,85.2,4,149.5,57.6,2.3,1.5,953,-7.754,0,0.055,-0.2,0.6,0
4,249,2019-11-28,2.091190476,-9.514285714,0.323809524,76.3,0.733333333,157.2380952,22.4047619,8.185714286,2.604761905,987.3333333,-12.87095238,22.12604762,11.90438095,0.061904762,1.29047619,14.40952381
1,250,2019-11-29,2.063294118,-7.235294118,0.288235294,75.47058824,0.505882353,160.4117647,22.70588235,8.129411765,2.605882353,981.4705882,-10.81,26.29911765,13.60676471,0.188235294,1.205882353,18.64117647
1,251,2019-11-30,2.081214286,-10.25,0.314285714,77.92857143,0.407142857,147.3357143,16.56428571,9.342857143,2.178571429,978.4285714,-14.11285714,40.53714286,44.32492857,0.228571429,0.95,33.40714286
1,252,2019-12-01,2.066333333,-12.06666667,0.3,76.56666667,0.6,144.6333333,28.56666667,9.6,3.033333333,972.3333333,-15.1,0,0.082,0.3,1.166666667,0
1,253,2019-12-02,2.176,-2.333333333,0.3,80,0.366666667,142.2333333,12.46666667,11.03333333,2.6,957,-4.976666667,4.682333333,3.445333333,0.266666667,1.066666667,0.066666667
3,256,2019-12-05,2.225,-11.8,0.6,85.8,1,141,13.9,6.3,1.4,974,-13.6,0,0.082,-0.2,0.3,0
1,257,2019-12-06,2.355,-12.36,1.18,83.06,6.4,164.96,47.6,4.04,1.92,972.8,-14.572,63.18,36.0872,0.02,0.52,35.18
2,259,2019-12-08,2.048,-24.4,0.3,77.4,0.3,140.4,12.9,13.9,3.2,980,-28.69,0,0.061,0.3,1,0
1,260,2019-12-09,2.134,-24.5,0.6,77.3,1,145.8,28.4,3.9,1.2,983,-29.49,0,0.071,-0.1,0.5,0
6,266,2019-12-15,2.074,-17.2,0.5,81,0.3,141.8,26.2,3.9,1.7,967,-19.37,42.84,65.57,-0.2,0.4,55.7
4,270,2019-12-19,2.044,-8.8,0.6,83,3.3,144.3,17.3,11.8,2.9,964,-12.62,0,0.088,0.3,0.9,0
1,271,2019-12-20,2.290666667,-7.733333333,0.266666667,85.23333333,2.4,151.6,26.36666667,4.566666667,1.5,964.3333333,-10.23333333,0,0.094666667,0.066666667,0.633333333,0
1,272,2019-12-21,2.064,-5.4625,0.2625,87.9375,2.025,153.0875,26.75,7.125,2.425,965.125,-7.80525,3.458,5.674125,0.2,1,1.975
2,274,2019-12-23,2.24,-9.85,0.4,87.45,0.55,140.8,26.4,9.75,2.4,969.5,-10.085,11.465,84.149,0.35,1,83.3
1,275,2019-12-24,2.2325,-6.016666667,0.5,86.48333333,1.283333333,144.85,17.1,8.9,2.366666667,965.6666667,-8.315166667,5.242666667,14.11066667,0.216666667,1.333333333,2.133333333
1,276,2019-12-25,2.2022,-4.86,0.17,83.24,0.57,151.4,20.39,6.54,1.93,966.5,-7.4399,7.5357,17.4241,0.15,0.93,18.57
1,277,2019-12-26,2.0485,-9.575,0.625,82.25,9.225,154.175,30.9,5.7,1.8,966,-12.8375,6.88375,19.11725,-0.075,0.525,14.375
2,279,2019-12-28,2.267333333,-11.16666667,0.566666667,83.6,2.533333333,145.0333333,25.33333333,9.533333333,2.633333333,972.6666667,-11.33666667,0.057333333,0.251,0.2,1.3,0
1,280,2019-12-29,2.469,-3.3,1.1,77.2,6.9,171.4,81.6,1.9,1.5,973,-6.981,30,138.6,0,0.3,155.4
1,281,2019-12-30,2.197,-6.5,0.2,89.5,1.9,140.1,11.1,15.4,3.3,970,-5.456,43.94,82.4,0.5,1.5,51
1,282,2019-12-31,2.541,-5.033333333,0.433333333,87.2,0.4,142.8333333,19.7,7,2.233333333,952.3333333,-5.601,24.95666667,39.47,-0.133333333,0.466666667,44.56666667
3,285,2020-01-03,2.297166667,-12.66666667,1.3,81.43333333,10.86666667,146.2833333,56.1,3.583333333,1.666666667,971.3333333,-14.40333333,17.74833333,42.0225,-0.016666667,0.633333333,81
1,286,2020-01-04,2.028,-6.633333333,0.2,80.2,0.866666667,151.2,23.36666667,10.6,2.9,955,-9.86,28.96333333,52.98333333,0.133333333,1.266666667,43.23333333
1,287,2020-01-05,2.173,-20.9,0.8,68.6,9.9,162.9,50.2,3.9,3.2,973,-26.19,0,0.081,-0.6,0.9,0
5,292,2020-01-10,2.2255,-23.45,0.5,76.125,1.775,153.825,32.7,4.375,1.4,980.75,-26.7275,8.749,23.21575,0.05,0.95,28.325
6,298,2020-01-16,2.217,-35.2,0.5,70.8,0.4,151.9,95.7,0.2,1,996,-39.09,0,0.07,0.1,0.3,0
3,301,2020-01-19,2.343333333,-18.96666667,0.4,75.86666667,2.216666667,154.25,25.41666667,4.9,1.433333333,984,-22.71,0,0.0765,-0.1,1.15,0
1,302,2020-01-20,2.4017,-12.51,0.49,75.55,4.44,150.77,31.21,6.75,2.05,969.2,-15.604,0.1034,0.3057,0.12,0.99,0
2,304,2020-01-22,2.0552,-2.86,0.8,81.94,3.42,149.78,20.18,12.3,3.28,968,-5.794,17.83,32.5014,0.34,1.32,36.3
1,305,2020-01-23,2.419333333,-6.75,0.533333333,86.51666667,1.066666667,143.9,24.83333333,7.116666667,2.266666667,968.8333333,-5.956833333,28.20333333,61.52983333,0.183333333,1.133333333,51.16666667
1,306,2020-01-24,2.647333333,-4.133333333,1.466666667,82.7,5.766666667,152.5333333,28.23333333,6.7,1.733333333,963.6666667,-5.350666667,21.77333333,48.427,0.033333333,0.566666667,20.9
